
The Optimal Objective value (Generation Dispatch cost) is: -708841

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	100 MW
2	100 MW
3	100 MW
4	100 MW
5	100 MW
6	319.599 MW
7	155.312 MW
8	207.826 MW
9	94.877 MW
10	135.461 MW
11	2.10161e-13 MW
12	188.693 MW
13	100 MW
14	100 MW
15	203.531 MW
16	796 MW
17	111.218 MW
18	181.03 MW
19	126.356 MW
20	311.879 MW
21	180.678 MW
22	100 MW
23	176.648 MW
24	100 MW
25	184.774 MW
26	111.218 MW
27	174.831 MW
28	1300 MW
29	1300 MW
30	575 MW
31	2.01786e-13 MW
32	515.249 MW
33	199.771 MW
34	124.211 MW
35	550 MW
36	191.952 MW
37	215.32 MW
38	257.547 MW
39	213.433 MW
40	700 MW
41	191.952 MW
42	650 MW
43	675.43 MW
44	162.539 MW
45	111.218 MW
46	567 MW
47	723 MW
48	1310 MW
49	186.745 MW
50	311.879 MW
51	238.247 MW
52	169.221 MW
53	443.658 MW
54	600 MW
55	55.071 MW
56	2399.01 MW
57	66.1488 MW
58	160.058 MW
59	401.004 MW
60	401.004 MW
61	134.86 MW
62	1392 MW
63	800 MW
64	653 MW
65	100 MW
66	100 MW
67	100 MW
68	72.8237 MW
69	12.1761 MW
Finished writing Power Generation
