
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
1	Base-Case	8.27601 MW
2	Base-Case	8.88787 MW
3	Base-Case	-11.724 MW
4	Base-Case	-28.4104 MW
5	Base-Case	-1.70169 MW
6	Base-Case	-4.431 MW
7	Base-Case	42.7974 MW
8	Base-Case	23.4662 MW
9	Base-Case	100 MW
10	Base-Case	43.6924 MW
11	Base-Case	39.6877 MW
12	Base-Case	20.6877 MW
13	Base-Case	-100 MW
14	Base-Case	8.20739e-07 MW
15	Base-Case	-100 MW
16	Base-Case	-9.37564 MW
17	Base-Case	25.8654 MW
18	Base-Case	10.6 MW
19	Base-Case	11.0681 MW
20	Base-Case	20 MW
21	Base-Case	-8.1346 MW
22	Base-Case	-3.39997 MW
23	Base-Case	-38.272 MW
24	Base-Case	-7.13359 MW
25	Base-Case	5.49368 MW
26	Base-Case	-13.9319 MW
27	Base-Case	13.2361 MW
28	Base-Case	100 MW
29	Base-Case	41.9935 MW
30	Base-Case	-18.4335 MW
31	Base-Case	14.6653 MW
32	Base-Case	16.5806 MW
33	Base-Case	-5.24718 MW
34	Base-Case	-1.41941 MW
35	Base-Case	-15.4194 MW
36	Base-Case	-25.4194 MW
37	Base-Case	2.77332 MW
38	Base-Case	-99.357 MW
39	Base-Case	64.1643 MW
40	Base-Case	1.38666 MW
41	Base-Case	1.38666 MW
42	Base-Case	57.7202 MW
43	Base-Case	94.7329 MW
44	Base-Case	100 MW
45	Base-Case	20.4669 MW
46	Base-Case	-1.25515 MW
47	Base-Case	13.5212 MW
48	Base-Case	3.46691 MW
49	Base-Case	-20.5331 MW
50	Base-Case	2.02721e-06 MW
51	Base-Case	-15.1469 MW
52	Base-Case	-27.7166 MW
53	Base-Case	16.4788 MW
54	Base-Case	-17.5063 MW
55	Base-Case	-1.64358 MW
56	Base-Case	-23.9752 MW
57	Base-Case	17.4955 MW
58	Base-Case	-24.3536 MW
59	Base-Case	-8.6464 MW
60	Base-Case	100 MW
61	Base-Case	29.9312 MW
62	Base-Case	19.9408 MW
63	Base-Case	-100 MW
64	Base-Case	2.93125 MW
65	Base-Case	22.5603 MW
66	Base-Case	-4.64847 MW
67	Base-Case	-14.4397 MW
68	Base-Case	-28.0441 MW
69	Base-Case	-28.0441 MW
70	Base-Case	-0.504539 MW
71	Base-Case	-16.5045 MW
72	Base-Case	-25.8791 MW
73	Base-Case	-43.6255 MW
74	Base-Case	-22.1945 MW
75	Base-Case	-15.011 MW
76	Base-Case	-28.5829 MW
77	Base-Case	-27.6116 MW
78	Base-Case	-35.011 MW
79	Base-Case	37.2265 MW
80	Base-Case	46.6018 MW
81	Base-Case	22.2359 MW
82	Base-Case	22.083 MW
83	Base-Case	-90.1726 MW
84	Base-Case	-90.1726 MW
85	Base-Case	-18.1607 MW
86	Base-Case	20.2265 MW
87	Base-Case	23.1969 MW
88	Base-Case	6.40489 MW
89	Base-Case	5.19695 MW
90	Base-Case	-17.8031 MW
91	Base-Case	-3.60094 MW
92	Base-Case	-12.7419 MW
93	Base-Case	-20.0493 MW
94	Base-Case	8.8014 MW
95	Base-Case	-20.1238 MW
96	Base-Case	-8.22654 MW
97	Base-Case	5.59511 MW
98	Base-Case	-17.8312 MW
99	Base-Case	-18.7265 MW
100	Base-Case	-31.1035 MW
101	Base-Case	-39.0667 MW
102	Base-Case	100 MW
103	Base-Case	-99.9999 MW
104	Base-Case	-9.10361 MW
105	Base-Case	22.3214 MW
106	Base-Case	5.02891e-06 MW
107	Base-Case	-23.3716 MW
108	Base-Case	-10.3112 MW
109	Base-Case	-100 MW
110	Base-Case	-100 MW
111	Base-Case	-33.3977 MW
112	Base-Case	91.6104 MW
113	Base-Case	38.3112 MW
114	Base-Case	-8.07295 MW
115	Base-Case	99.6834 MW
116	Base-Case	-6.73344e-05 MW
117	Base-Case	86.2477 MW
118	Base-Case	100 MW
119	Base-Case	98.2216 MW
120	Base-Case	-1.38666 MW
121	Base-Case	14.1804 MW
122	Base-Case	8.84069 MW
123	Base-Case	-1.38666 MW
124	Base-Case	-6.26029e-11 MW
125	Base-Case	-15.5056 MW
126	Base-Case	-11.4038 MW
127	Base-Case	57.7389 MW
128	Base-Case	-43.2611 MW
129	Base-Case	-24.7389 MW
130	Base-Case	51.834 MW
