
The Optimal Objective value (Generation Dispatch cost) is: 107604

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	1.3485e-11 MW
2	1.3485e-11 MW
3	1.3485e-11 MW
4	1.34853e-11 MW
5	0 MW
6	0.793741 MW
7	1.34852e-11 MW
8	1.34852e-11 MW
9	1.34852e-11 MW
10	1.34857e-11 MW
11	2.05453 MW
12	2.93251 MW
13	1.34854e-11 MW
14	0.0653644 MW
15	1.34854e-11 MW
16	1.34853e-11 MW
17	1.34853e-11 MW
18	1.34855e-11 MW
19	1.34856e-11 MW
20	0.177419 MW
21	1.90509 MW
22	0.448223 MW
23	1.34856e-11 MW
24	1.34856e-11 MW
25	1.44746 MW
26	1.49416 MW
27	1.34857e-11 MW
28	3.65178 MW
29	3.66111 MW
30	4.82327 MW
31	1.34859e-11 MW
32	1.34857e-11 MW
33	1.34858e-11 MW
34	1.34859e-11 MW
35	1.3486e-11 MW
36	1.34861e-11 MW
37	4.45516 MW
38	1.34864e-11 MW
39	0.037351 MW
40	5.66973 MW
41	1.34865e-11 MW
42	1.34864e-11 MW
43	1.34864e-11 MW
44	1.34862e-11 MW
45	2.35341 MW
46	0.373517 MW
47	1.34861e-11 MW
48	1.34861e-11 MW
49	1.34861e-11 MW
50	1.3486e-11 MW
51	0.336164 MW
52	1.3486e-11 MW
53	1.34853e-11 MW
54	1.34861e-11 MW
Finished writing Power Generation
