
The Optimal Objective value (Generation Dispatch cost) is: 104099

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	7.1437e-17 MW
2	7.1437e-17 MW
3	7.1437e-17 MW
4	7.1437e-17 MW
5	3.77085 MW
6	0.712268 MW
7	7.1437e-17 MW
8	7.1437e-17 MW
9	7.1437e-17 MW
10	7.1437e-17 MW
11	1.84352 MW
12	2.6312 MW
13	7.1437e-17 MW
14	0.0586574 MW
15	7.1437e-17 MW
16	7.1437e-17 MW
17	7.1437e-17 MW
18	7.1437e-17 MW
19	7.1437e-17 MW
20	0.159213 MW
21	1.70944 MW
22	0.402223 MW
23	7.1437e-17 MW
24	7.1437e-17 MW
25	1.29884 MW
26	1.34074 MW
27	7.1437e-17 MW
28	3.27644 MW
29	3.28481 MW
30	4.32725 MW
31	7.1437e-17 MW
32	7.1437e-17 MW
33	7.1437e-17 MW
34	7.1437e-17 MW
35	7.1437e-17 MW
36	7.1437e-17 MW
37	3.99707 MW
38	7.1437e-17 MW
39	0.0335185 MW
40	5.08643 MW
41	7.1437e-17 MW
42	7.1437e-17 MW
43	7.1437e-17 MW
44	7.1437e-17 MW
45	2.11167 MW
46	0.335185 MW
47	7.1437e-17 MW
48	7.1437e-17 MW
49	7.1437e-17 MW
50	7.1437e-17 MW
51	0.301666 MW
52	7.1437e-17 MW
53	7.1437e-17 MW
54	7.1437e-17 MW
Finished writing Power Generation
