
The Optimal Objective value (Generation Dispatch cost) is: 104096

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	2.63258e-14 MW
2	2.63258e-14 MW
3	2.63258e-14 MW
4	2.63258e-14 MW
5	3.77075 MW
6	0.712249 MW
7	2.63258e-14 MW
8	2.63258e-14 MW
9	2.63258e-14 MW
10	2.63258e-14 MW
11	1.84347 MW
12	2.63113 MW
13	2.63258e-14 MW
14	0.0586558 MW
15	2.63258e-14 MW
16	2.63258e-14 MW
17	2.63258e-14 MW
18	2.63258e-14 MW
19	2.63258e-14 MW
20	0.159208 MW
21	1.7094 MW
22	0.402212 MW
23	2.63258e-14 MW
24	2.63258e-14 MW
25	1.29881 MW
26	1.3407 MW
27	2.63258e-14 MW
28	3.27635 MW
29	3.28472 MW
30	4.32713 MW
31	2.63258e-14 MW
32	2.63258e-14 MW
33	2.63258e-14 MW
34	2.63258e-14 MW
35	2.63258e-14 MW
36	2.63259e-14 MW
37	3.99696 MW
38	2.63259e-14 MW
39	0.0335176 MW
40	5.08629 MW
41	2.63259e-14 MW
42	2.63259e-14 MW
43	2.63259e-14 MW
44	2.63259e-14 MW
45	2.11161 MW
46	0.335176 MW
47	2.63258e-14 MW
48	2.63258e-14 MW
49	2.63258e-14 MW
50	2.63258e-14 MW
51	0.301658 MW
52	2.63258e-14 MW
53	2.63258e-14 MW
54	2.63259e-14 MW
Finished writing Power Generation
