
The Optimal Objective value (Generation Dispatch cost) is: 104102

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	1.10132e-19 MW
2	1.10132e-19 MW
3	1.10132e-19 MW
4	1.10132e-19 MW
5	3.77092 MW
6	0.712282 MW
7	1.10132e-19 MW
8	1.10132e-19 MW
9	1.10132e-19 MW
10	1.10132e-19 MW
11	1.84355 MW
12	2.63125 MW
13	1.10132e-19 MW
14	0.0586585 MW
15	1.10132e-19 MW
16	1.10132e-19 MW
17	1.10132e-19 MW
18	1.10132e-19 MW
19	1.10132e-19 MW
20	0.159216 MW
21	1.70947 MW
22	0.40223 MW
23	1.10132e-19 MW
24	1.10132e-19 MW
25	1.29887 MW
26	1.34076 MW
27	1.10132e-19 MW
28	3.2765 MW
29	3.28487 MW
30	4.32733 MW
31	1.10132e-19 MW
32	1.10132e-19 MW
33	1.10132e-19 MW
34	1.10132e-19 MW
35	1.10132e-19 MW
36	1.10132e-19 MW
37	3.99715 MW
38	1.10132e-19 MW
39	0.0335191 MW
40	5.08652 MW
41	1.10132e-19 MW
42	1.10132e-19 MW
43	1.10132e-19 MW
44	1.10132e-19 MW
45	2.11171 MW
46	0.335191 MW
47	1.10132e-19 MW
48	1.10132e-19 MW
49	1.10132e-19 MW
50	1.10132e-19 MW
51	0.301672 MW
52	1.10132e-19 MW
53	1.10132e-19 MW
54	1.10132e-19 MW
Finished writing Power Generation
