
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	MW FLOW
1	-0.118979 MW
2	-0.391039 MW
3	-0.318979 MW
4	-0.687503 MW
5	-0.0934694 MW
6	-0.942387 MW
7	0.642474 MW
8	0.866268 MW
9	3.25492 MW
10	0.758393 MW
11	0.346291 MW
12	0.156291 MW
13	-3.8016 MW
14	0.546725 MW
15	-3.8016 MW
16	0.386368 MW
17	0.314321 MW
18	0.137102 MW
19	0.0413798 MW
20	0.2 MW
21	-0.0256792 MW
22	-0.00289789 MW
23	-0.98969 MW
24	0.0723266 MW
25	-0.0111295 MW
26	-0.20862 MW
27	0.758296 MW
28	2.17849 MW
29	0.145833 MW
30	-0.033904 MW
31	0.15832 MW
32	-0.103058 MW
33	-0.116117 MW
34	-0.283041 MW
35	-0.423099 MW
36	-0.52309 MW
37	-0.177005 MW
38	-1.33805 MW
39	0.921943 MW
40	-0.0884941 MW
41	-0.0884918 MW
42	0.735968 MW
43	1.25648 MW
44	1.91667 MW
45	0.323322 MW
46	0.113074 MW
47	0.200052 MW
48	0.153296 MW
49	-0.0866556 MW
50	0.285073 MW
51	-0.31162 MW
52	0.033893 MW
53	0.0993591 MW
54	-0.241137 MW
55	0.290314 MW
56	-1.04198 MW
57	0.0458083 MW
58	0.0196776 MW
59	-0.349584 MW
60	2.0468 MW
61	0.256878 MW
62	0.157357 MW
63	-1.76177 MW
64	-0.0131094 MW
65	0.108468 MW
66	-0.164147 MW
67	-0.261639 MW
68	-0.397888 MW
69	-0.397888 MW
70	-0.134181 MW
71	-0.29418 MW
72	-0.339277 MW
73	-0.484849 MW
74	-0.31649 MW
75	-0.142276 MW
76	-0.0637062 MW
77	-0.592779 MW
78	-0.34229 MW
79	0.541874 MW
80	0.669707 MW
81	0.392187 MW
82	0.389492 MW
83	-1.1652 MW
84	-1.1652 MW
85	-0.495964 MW
86	0.371869 MW
87	0.293468 MW
88	0.206251 MW
89	0.113466 MW
90	-0.11652 MW
91	0.0701908 MW
92	0.164167 MW
93	-0.29353 MW
94	-0.224814 MW
95	-0.334888 MW
96	-0.251869 MW
97	-0.086238 MW
98	-0.274399 MW
99	-0.288177 MW
100	-0.455478 MW
101	-0.542352 MW
102	1.65371 MW
103	-1.13397 MW
104	-0.101481 MW
105	0.25573 MW
106	0.580399 MW
107	-0.373303 MW
108	-0.242358 MW
109	-1.65371 MW
110	-2.2342 MW
111	0.3044 MW
112	-0.997313 MW
113	0.522406 MW
114	-0.713264 MW
115	-0.28212 MW
116	-0.000182276 MW
117	0.991059 MW
118	1.02809 MW
119	0.54149 MW
120	0.0885208 MW
121	0.157142 MW
122	-0.0031053 MW
123	0.0884914 MW
124	0 MW
125	-0.52285 MW
126	-0.353858 MW
127	0.385966 MW
128	-0.623977 MW
129	-0.0560197 MW
130	0.469685 MW
131	-0.916226 MW
132	-0.423209 MW
133	-0.176327 MW
134	-0.240538 MW
135	-0.630567 MW
136	-0.28212 MW
137	0.116937 MW
138	0.189982 MW
139	0.191216 MW
140	-0.0207805 MW
141	-0.563216 MW
142	-0.153089 MW
143	-0.307767 MW
144	-0.455413 MW
145	-0.417721 MW
146	0.176177 MW
147	-0.545621 MW
148	-0.743803 MW
149	-0.0337936 MW
150	-1.02562 MW
151	0.323108 MW
152	0.60927 MW
153	1.83887 MW
154	0.587367 MW
155	0.152349 MW
156	0.152375 MW
157	0.624244 MW
158	0.568651 MW
159	0.299978 MW
160	0.435753 MW
161	0.504248 MW
162	0.4982 MW
163	0.298016 MW
164	-0.0233334 MW
165	0.0781667 MW
166	-0.0399796 MW
167	-0.148714 MW
168	-0.0207576 MW
169	-0.165814 MW
170	1.03927 MW
171	0.484555 MW
172	0.507964 MW
173	-0.385796 MW
174	0.279592 MW
175	0.361919 MW
176	0.505678 MW
177	0.384248 MW
178	0.0539305 MW
179	0.148053 MW
180	0.234188 MW
181	0.131933 MW
182	0.214287 MW
183	0.134287 MW
185	0.249987 MW
186	0.0198084 MW
Finished writing Internal Transmission lines' MW Flows
