
The Optimal Objective value (Generation Dispatch cost) is: 104094

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	5.96148e-13 MW
2	5.96148e-13 MW
3	5.96148e-13 MW
4	5.96148e-13 MW
5	3.77072 MW
6	0.712242 MW
7	5.96148e-13 MW
8	5.96148e-13 MW
9	5.96148e-13 MW
10	5.96148e-13 MW
11	1.84345 MW
12	2.63111 MW
13	5.96148e-13 MW
14	0.0586553 MW
15	5.96148e-13 MW
16	5.96148e-13 MW
17	5.96148e-13 MW
18	5.96148e-13 MW
19	5.96148e-13 MW
20	0.159207 MW
21	1.70938 MW
22	0.402208 MW
23	5.96148e-13 MW
24	5.96148e-13 MW
25	1.29879 MW
26	1.34069 MW
27	5.96148e-13 MW
28	3.27632 MW
29	3.28469 MW
30	4.32709 MW
31	5.96148e-13 MW
32	5.96148e-13 MW
33	5.96148e-13 MW
34	5.96148e-13 MW
35	5.96148e-13 MW
36	5.96148e-13 MW
37	3.99693 MW
38	5.96148e-13 MW
39	0.0335173 MW
40	5.08624 MW
41	5.96148e-13 MW
42	5.96148e-13 MW
43	5.96148e-13 MW
44	5.96148e-13 MW
45	2.11159 MW
46	0.335173 MW
47	5.96148e-13 MW
48	5.96148e-13 MW
49	5.96148e-13 MW
50	5.96148e-13 MW
51	0.301655 MW
52	5.96148e-13 MW
53	5.96148e-13 MW
54	5.96148e-13 MW
Finished writing Power Generation
