
The Optimal Objective value (Generation Dispatch cost) is: 104084

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	4.63765e-10 MW
2	4.63766e-10 MW
3	4.63766e-10 MW
4	4.63766e-10 MW
5	3.77044 MW
6	0.71219 MW
7	4.63765e-10 MW
8	4.63765e-10 MW
9	4.63765e-10 MW
10	4.63766e-10 MW
11	1.84332 MW
12	2.63091 MW
13	4.63766e-10 MW
14	0.0586511 MW
15	4.63766e-10 MW
16	4.63765e-10 MW
17	4.63765e-10 MW
18	4.63766e-10 MW
19	4.63766e-10 MW
20	0.159195 MW
21	1.70925 MW
22	0.402178 MW
23	4.63766e-10 MW
24	4.63766e-10 MW
25	1.2987 MW
26	1.34059 MW
27	4.63766e-10 MW
28	3.27608 MW
29	3.28445 MW
30	4.32677 MW
31	4.63766e-10 MW
32	4.63766e-10 MW
33	4.63766e-10 MW
34	4.63766e-10 MW
35	4.63766e-10 MW
36	4.63766e-10 MW
37	3.99663 MW
38	4.63767e-10 MW
39	0.0335157 MW
40	5.08586 MW
41	4.63767e-10 MW
42	4.63767e-10 MW
43	4.63767e-10 MW
44	4.63766e-10 MW
45	2.11143 MW
46	0.335148 MW
47	4.63766e-10 MW
48	4.63766e-10 MW
49	4.63766e-10 MW
50	4.63766e-10 MW
51	0.301633 MW
52	4.63766e-10 MW
53	4.63766e-10 MW
54	4.63766e-10 MW
Finished writing Power Generation
