
The Optimal Objective value (Generation Dispatch cost) is: 104097

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	8.95173e-13 MW
2	8.95173e-13 MW
3	8.9516e-13 MW
4	8.95174e-13 MW
5	3.77074 MW
6	0.71226 MW
7	8.95173e-13 MW
8	8.95155e-13 MW
9	8.95173e-13 MW
10	8.95174e-13 MW
11	1.84348 MW
12	2.63114 MW
13	8.95166e-13 MW
14	0.058657 MW
15	8.95173e-13 MW
16	8.95173e-13 MW
17	8.95173e-13 MW
18	8.95156e-13 MW
19	8.95173e-13 MW
20	0.159211 MW
21	1.70941 MW
22	0.402218 MW
23	8.95164e-13 MW
24	8.95173e-13 MW
25	1.29882 MW
26	1.34072 MW
27	8.95174e-13 MW
28	3.27634 MW
29	3.28472 MW
30	4.3271 MW
31	8.95174e-13 MW
32	8.95174e-13 MW
33	8.95166e-13 MW
34	8.95174e-13 MW
35	8.95174e-13 MW
36	8.95175e-13 MW
37	3.99695 MW
38	8.95169e-13 MW
39	0.0335182 MW
40	5.08623 MW
41	8.95175e-13 MW
42	8.95175e-13 MW
43	8.95164e-13 MW
44	8.95175e-13 MW
45	2.11162 MW
46	0.335182 MW
47	8.95174e-13 MW
48	8.95163e-13 MW
49	8.95174e-13 MW
50	8.95174e-13 MW
51	0.301663 MW
52	8.95173e-13 MW
53	8.95168e-13 MW
54	8.95175e-13 MW
Finished writing Power Generation
