
The Optimal Objective value (Generation Dispatch cost) is: 104092

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	2.99584e-15 MW
2	2.99584e-15 MW
3	2.99584e-15 MW
4	2.99584e-15 MW
5	3.77065 MW
6	0.71223 MW
7	2.99584e-15 MW
8	2.99584e-15 MW
9	2.99584e-15 MW
10	2.99584e-15 MW
11	1.84342 MW
12	2.63106 MW
13	2.99584e-15 MW
14	0.0586543 MW
15	2.99584e-15 MW
16	2.99584e-15 MW
17	2.99584e-15 MW
18	2.99584e-15 MW
19	2.99584e-15 MW
20	0.159204 MW
21	1.70935 MW
22	0.402201 MW
23	2.99584e-15 MW
24	2.99584e-15 MW
25	1.29877 MW
26	1.34067 MW
27	2.99584e-15 MW
28	3.27626 MW
29	3.28464 MW
30	4.32701 MW
31	2.99584e-15 MW
32	2.99584e-15 MW
33	2.99584e-15 MW
34	2.99584e-15 MW
35	2.99584e-15 MW
36	2.99584e-15 MW
37	3.99686 MW
38	2.99584e-15 MW
39	0.0335167 MW
40	5.08615 MW
41	2.99584e-15 MW
42	2.99584e-15 MW
43	2.99584e-15 MW
44	2.99584e-15 MW
45	2.11155 MW
46	0.335167 MW
47	2.99584e-15 MW
48	2.99584e-15 MW
49	2.99584e-15 MW
50	2.99584e-15 MW
51	0.30165 MW
52	2.99584e-15 MW
53	2.99584e-15 MW
54	2.99584e-15 MW
Finished writing Power Generation
