
The Optimal Objective value (Generation Dispatch cost) is: 104097

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	1.53162e-12 MW
2	1.53162e-12 MW
3	1.53162e-12 MW
4	1.5316e-12 MW
5	3.77074 MW
6	0.71226 MW
7	1.53162e-12 MW
8	1.53162e-12 MW
9	1.53161e-12 MW
10	1.53162e-12 MW
11	1.84348 MW
12	2.63114 MW
13	1.53162e-12 MW
14	0.0586569 MW
15	1.53162e-12 MW
16	1.53162e-12 MW
17	1.53162e-12 MW
18	1.53162e-12 MW
19	1.53159e-12 MW
20	0.159211 MW
21	1.70941 MW
22	0.402219 MW
23	1.53162e-12 MW
24	1.53161e-12 MW
25	1.29882 MW
26	1.34072 MW
27	1.53162e-12 MW
28	3.27635 MW
29	3.28472 MW
30	4.3271 MW
31	1.53162e-12 MW
32	1.53162e-12 MW
33	1.53162e-12 MW
34	1.53161e-12 MW
35	1.53162e-12 MW
36	1.53162e-12 MW
37	3.99695 MW
38	1.53162e-12 MW
39	0.0335181 MW
40	5.08623 MW
41	1.53162e-12 MW
42	1.53162e-12 MW
43	1.53162e-12 MW
44	1.53161e-12 MW
45	2.11162 MW
46	0.335182 MW
47	1.53162e-12 MW
48	1.53162e-12 MW
49	1.53161e-12 MW
50	1.53162e-12 MW
51	0.301663 MW
52	1.53162e-12 MW
53	1.53162e-12 MW
54	1.53161e-12 MW
Finished writing Power Generation
