
The Optimal Objective value (Generation Dispatch cost) is: 104107

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	9.96004e-17 MW
2	9.96004e-17 MW
3	9.96004e-17 MW
4	9.96004e-17 MW
5	3.77107 MW
6	0.71231 MW
7	9.96004e-17 MW
8	9.96004e-17 MW
9	9.96004e-17 MW
10	9.96004e-17 MW
11	1.84363 MW
12	2.63136 MW
13	9.96004e-17 MW
14	0.0586609 MW
15	9.96004e-17 MW
16	9.96004e-17 MW
17	9.96004e-17 MW
18	9.96004e-17 MW
19	9.96004e-17 MW
20	0.159222 MW
21	1.70954 MW
22	0.402246 MW
23	9.96004e-17 MW
24	9.96004e-17 MW
25	1.29892 MW
26	1.34082 MW
27	9.96004e-17 MW
28	3.27663 MW
29	3.28501 MW
30	4.3275 MW
31	9.96004e-17 MW
32	9.96004e-17 MW
33	9.96004e-17 MW
34	9.96004e-17 MW
35	9.96004e-17 MW
36	9.96004e-17 MW
37	3.99731 MW
38	9.96004e-17 MW
39	0.0335205 MW
40	5.08672 MW
41	9.96004e-17 MW
42	9.96004e-17 MW
43	9.96004e-17 MW
44	9.96004e-17 MW
45	2.11179 MW
46	0.335205 MW
47	9.96004e-17 MW
48	9.96004e-17 MW
49	9.96004e-17 MW
50	9.96004e-17 MW
51	0.301684 MW
52	9.96004e-17 MW
53	9.96004e-17 MW
54	9.96004e-17 MW
Finished writing Power Generation
