
****************** INTERNAL NODE VOLTAGE PHASE ANGLE VALUES *********************
NODE ID	VOLTAGE PHASE ANGLE
1	2.99743
2	2.99755
3	2.9976
4	2.99826
5	2.99834
6	2.99787
7	2.9978
8	2.9992
9	3.00035
10	3.00157
11	2.99782
12	2.99775
13	2.9976
14	2.99766
15	2.99768
16	2.99771
17	2.99809
18	2.99769
19	2.99759
20	2.99772
21	2.99797
22	2.99839
23	2.99923
24	2.99933
25	3.00029
26	3.00057
27	2.99825
28	2.99798
29	2.99783
30	2.99894
31	2.99786
32	2.99817
33	2.99769
34	2.99793
35	2.99785
36	2.99785
37	2.99803
38	2.9988
39	2.99776
40	2.99777
41	2.99772
42	2.99808
43	2.99786
44	2.9982
45	2.99847
46	2.99893
47	2.99934
48	2.9992
49	2.99937
50	2.99897
51	2.99846
52	2.99828
53	2.9981
54	2.99824
55	2.99819
56	2.99822
57	2.99847
58	2.99831
59	2.99891
60	2.99958
61	2.99973
62	2.99963
63	2.99956
64	2.99989
65	3.00057
66	3.00045
67	2.99992
68	3.00075
69	3.00102
70	2.99975
71	2.99972
72	2.99953
73	2.99972
74	2.99956
75	2.99978
76	2.99958
77	3.00052
78	3.00047
79	3.00053
80	3.00098
81	3.00083
82	3.00072
83	3.00094
84	3.00135
85	3.00163
86	3.00141
87	3.00148
88	3.00219
89	3.00293
90	3.00233
91	3.0022
92	3.00202
93	3.0015
94	3.00113
95	3.00089
96	3.00082
97	3.00083
98	3.00084
99	3.00114
100	3.00121
101	3.00139
102	3.00179
103	3.00076
104	3.00034
105	3.00022
106	3.00016
107	2.99993
108	3.00015
109	3.00013
110	3.00014
111	3.00036
112	2.99998
113	2.9981
114	2.99811
115	2.9981
116	3.00075
117	2.99747
118	2.9996
Finished writing Internal Node Voltage Phase Angles
