
The Optimal Objective value (Generation Dispatch cost) is: 104098

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	1.12153e-12 MW
2	1.12153e-12 MW
3	1.12153e-12 MW
4	1.12153e-12 MW
5	3.77072 MW
6	0.71227 MW
7	1.12153e-12 MW
8	1.12153e-12 MW
9	1.12153e-12 MW
10	1.12153e-12 MW
11	1.8435 MW
12	2.63115 MW
13	1.12153e-12 MW
14	0.058658 MW
15	1.12153e-12 MW
16	1.12153e-12 MW
17	1.12153e-12 MW
18	1.12153e-12 MW
19	1.12153e-12 MW
20	0.159214 MW
21	1.70943 MW
22	0.402225 MW
23	1.12153e-12 MW
24	1.12153e-12 MW
25	1.29884 MW
26	1.34073 MW
27	1.12153e-12 MW
28	3.27635 MW
29	3.28472 MW
30	4.32707 MW
31	1.12153e-12 MW
32	1.12153e-12 MW
33	1.12153e-12 MW
34	1.12153e-12 MW
35	1.12153e-12 MW
36	1.12153e-12 MW
37	3.99693 MW
38	1.12153e-12 MW
39	0.0335189 MW
40	5.08617 MW
41	1.12153e-12 MW
42	1.12153e-12 MW
43	1.12153e-12 MW
44	1.12153e-12 MW
45	2.11164 MW
46	0.335187 MW
47	1.12153e-12 MW
48	1.12153e-12 MW
49	1.12153e-12 MW
50	1.12153e-12 MW
51	0.301668 MW
52	1.12153e-12 MW
53	1.12153e-12 MW
54	1.12153e-12 MW
Finished writing Power Generation
