
The Optimal Objective value (Generation Dispatch cost) is: 104108

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	7.30438e-15 MW
2	7.30438e-15 MW
3	7.30438e-15 MW
4	7.30438e-15 MW
5	3.77108 MW
6	0.712312 MW
7	7.30438e-15 MW
8	7.30438e-15 MW
9	7.30438e-15 MW
10	7.30438e-15 MW
11	1.84363 MW
12	2.63136 MW
13	7.30438e-15 MW
14	0.058661 MW
15	7.30438e-15 MW
16	7.30438e-15 MW
17	7.30438e-15 MW
18	7.30438e-15 MW
19	7.30438e-15 MW
20	0.159223 MW
21	1.70955 MW
22	0.402247 MW
23	7.30438e-15 MW
24	7.30438e-15 MW
25	1.29892 MW
26	1.34082 MW
27	7.30438e-15 MW
28	3.27664 MW
29	3.28501 MW
30	4.32751 MW
31	7.30438e-15 MW
32	7.30438e-15 MW
33	7.30438e-15 MW
34	7.30438e-15 MW
35	7.30438e-15 MW
36	7.30438e-15 MW
37	3.99732 MW
38	7.30438e-15 MW
39	0.0335206 MW
40	5.08674 MW
41	7.30438e-15 MW
42	7.30438e-15 MW
43	7.30438e-15 MW
44	7.30438e-15 MW
45	2.1118 MW
46	0.335205 MW
47	7.30438e-15 MW
48	7.30438e-15 MW
49	7.30438e-15 MW
50	7.30438e-15 MW
51	0.301685 MW
52	7.30438e-15 MW
53	7.30438e-15 MW
54	7.30438e-15 MW
Finished writing Power Generation
