
The Optimal Objective value (Generation Dispatch cost) is: 107604

****************** GENERATORS' POWER GENERATION LEVELS (MW) *********************
GENERATOR ID	GENERATOR MW
1	1.94362e-11 MW
2	1.94362e-11 MW
3	1.94362e-11 MW
4	1.94366e-11 MW
5	0 MW
6	0.79374 MW
7	1.94364e-11 MW
8	1.94365e-11 MW
9	1.94365e-11 MW
10	1.94372e-11 MW
11	2.05453 MW
12	2.93251 MW
13	1.94368e-11 MW
14	0.0653643 MW
15	1.94368e-11 MW
16	1.94366e-11 MW
17	1.94366e-11 MW
18	1.94369e-11 MW
19	1.94371e-11 MW
20	0.177418 MW
21	1.90509 MW
22	0.448222 MW
23	1.94371e-11 MW
24	1.94371e-11 MW
25	1.44746 MW
26	1.49415 MW
27	1.94373e-11 MW
28	3.65177 MW
29	3.66111 MW
30	4.82326 MW
31	1.94375e-11 MW
32	1.94373e-11 MW
33	1.94374e-11 MW
34	1.94375e-11 MW
35	1.94376e-11 MW
36	1.94378e-11 MW
37	4.45515 MW
38	1.94382e-11 MW
39	0.037351 MW
40	5.66972 MW
41	1.94384e-11 MW
42	1.94383e-11 MW
43	1.94382e-11 MW
44	1.9438e-11 MW
45	2.3534 MW
46	0.373516 MW
47	1.94378e-11 MW
48	1.94377e-11 MW
49	1.94377e-11 MW
50	1.94377e-11 MW
51	0.336164 MW
52	1.94376e-11 MW
53	1.94366e-11 MW
54	1.94378e-11 MW
Finished writing Power Generation
